country,asn,name,n_prefixes
IL,8551,BEZEQ-INTERNATIONAL-AS Bezeq International Ltd.,962
IL,12849,HOTNET-IL Hot-Net internet services Ltd.,425
IL,12400,PARTNER-AS Partner Communications Ltd.,325
IL,198949,Radware Radware Ltd,274
IL,13150,CATON CATO NETWORKS LTD,246
IQ,203214,HulumTele Hulum Almustakbal Company for Communication Engineering and Services Ltd,711
IQ,51684,ASIACELL ASIACELL COMMUNICATIONS PJSC,298
IQ,44217,IQNETWORKS IQ Networks for Data and Internet Services Ltd,148
IQ,203217,HORIZON-SCOPE-IQ Horizon Scope Mobile Telecom WLL,109
IQ,59588,ZAINAS-IQ Al Atheer Telecommunication-Iraq Co. Ltd. Incorporated in Cayman Islands,77
IR,58224,TCI Iran Telecommunication Company PJS,1185
IR,197207,MCCI-AS Mobile Communication Company of Iran PLC,835
IR,42337,RESPINA-AS Respina Networks & Beyond PJSC,740
IR,44244,IranCell-AS Iran Cell Service and Communication Company,623
IR,43754,ASIATECH Asiatech Data Transmission company,331
LB,31126,SODETEL-AS SODETEL S.A.L.,247
LB,9051,IncoNet Data Management sal,225
LB,39010,TERRANET-AS TerraNet sal,163
LB,41833,MOSCANET Moscanet SAL,82
LB,42003,OGERONET OGERO,78
SY,29256,INT-PDN-STE-AS Syrian Telecommunication Private Closed Joint Stock Company,328
SY,48065,Syriatel-AS Syriatel Mobile Telecom,118
SY,214707,Rcell RCell LLC,48
SY,216472,HS-SYR High Speed For Internet Services L.L.C,30
SY,201550,EXT-PDN-STE-AS Syrian Telecommunication Private Closed Joint Stock Company,15
